1000 1000
712 761 116
343 517 2
278 426 41
557 363 31
120 49 39
69 346 2
90 655 29
921 478 19
229 239 17
496 237 29
199 239 30
758 589 34
509 249 12
590 179 41
282 209 6
210 950 30
863 435 11
668 124 41
483 673 47
699 635 14
163 875 44
950 764 370
209 333 47
40 73 117
219 278 9
872 225 31
737 415 132
438 41 28
63 565 12
615 418 34
964 916 33
58 180 12
123 10 50
938 768 44
410 468 102
749 46 18
78 468 35
41 553 6
842 914 42
520 222 500
987 119 6
618 153 48
571 938 12
357 108 23
682 418 55
700 14 184
26 398 13
794 823 97
72 212 5
203 714 37
926 633 21
54 808 16
601 443 48
967 442 47
992 488 2
968 327 186
798 489 35
459 550 41
87 387 39
906 184 135
75 60 17
635 808 24
7 117 35
365 386 46
86 370 35
149 369 41
688 477 481
938 734 17
486 33 30
26 855 44
944 858 32
540 562 30
121 691 28
816 403 22
850 554 41
971 999 35
291 23 11
236 279 17
461 758 50
786 699 37
103 588 25
877 807 43
629 912 86
199 532 39
731 122 14
930 263 6
405 458 36
416 915 13
295 923 34
91 11 20
338 327 50
456 289 6
264 462 23
378 808 16
250 254 31
378 374 7
909 563 32
888 619 6
704 59 44
503 55 49
928 362 207
683 778 47
59 920 30
281 552 39
102 621 30
201 205 44
693 507 310
912 92 23
977 263 32
60 989 16
469 158 41
23 280 40
971 48 186
374 328 14
218 873 28
579 282 45
711 505 1
357 868 429
428 49 8
386 731 6
725 287 25
416 911 34
776 873 48
634 809 476
227 743 20
911 578 37
235 199 48
273 669 18
460 125 2
945 327 35
319 161 85
908 931 10
800 348 30
4 826 35
112 708 34
926 723 47
432 101 22
651 786 39
291 985 50
782 754 68
690 959 42
739 764 36
621 746 47
564 583 6
816 905 1
102 979 6
645 621 22
1000 742 26
291 510 26
388 455 27
578 335 115
737 905 41
492 827 7
888 840 44
48 16 49
95 675 42
860 544 42
158 193 31
166 924 17
888 199 343
592 635 9
976 288 31
720 580 47
379 873 3
203 811 108
555 694 50
955 668 90
959 54 28
658 739 10
520 387 20
986 549 34
756 429 10
991 134 7
927 915 37
547 635 53
752 660 7
214 704 28
915 980 2
562 683 29
485 775 6
626 796 391
203 609 27
907 885 36
977 375 17
408 169 47
563 852 9
338 312 18
579 171 34
670 726 1
681 333 3
50 664 29
717 640 39
196 642 25
970 328 13
230 13 414
263 331 48
790 711 14
603 539 4
765 299 19
79 430 55
374 684 34
810 33 14
478 752 10
726 286 18
342 535 340
87 298 25
945 266 42
336 723 4
831 446 94
11 824 40
535 919 10
496 865 7
451 897 34
455 490 186
527 54 10
512 443 43
82 282 43
611 889 22
53 759 20
218 592 37
580 957 7
610 644 18
869 799 11
814 131 49
631 669 402
260 292 10
454 488 10
127 220 13
163 434 13
279 549 6
439 547 42
945 230 2
963 158 25
339 302 24
616 879 25
458 119 6
581 519 11
500 913 14
190 537 28
612 684 7
429 580 46
265 851 46
375 643 14
146 271 21
581 831 42
202 920 36
522 298 5
811 213 39
78 117 13
155 135 28
158 928 27
253 953 4
59 255 20
355 383 27
442 562 50
798 204 23
680 518 49
416 617 21
615 96 26
330 526 22
59 154 46
565 290 21
140 489 3
734 66 2
986 893 40
862 133 5
275 316 39
377 433 27
440 811 10
137 948 2
379 671 39
10 223 30
905 748 5
135 439 38
144 900 47
306 250 44
216 316 13
555 262 7
938 773 30
733 571 34
245 745 43
892 312 45
5 654 24
217 735 50
717 738 22
157 917 22
394 815 101
876 317 30
427 877 9
394 54 4
226 859 84
683 59 31
958 964 24
596 262 22
911 623 109
723 303 10
613 289 5
913 172 46
819 655 36
571 440 19
436 339 15
757 653 46
891 703 24
211 283 14
766 884 26
915 116 7
452 771 20
711 663 23
285 972 12
451 263 16
195 538 40
309 496 30
680 522 21
667 675 46
222 81 27
605 545 47
207 995 108
426 54 24
81 115 436
823 884 48
200 854 37
270 49 48
551 368 35
47 874 43
859 464 25
681 353 6
166 990 44
200 134 4
907 421 33
499 897 11
325 45 41
404 839 16
349 61 4
138 683 1
3 627 14
849 265 8
828 328 26
663 764 47
60 643 22
394 595 99
144 804 47
288 312 50
326 302 1
826 441 27
849 576 13
932 807 18
444 696 33
