1000 1000
473 7 24
120 133 10
83 738 2
162 935 57
125 759 29
41 87 302
136 452 20
969 672 14
392 159 45
757 552 45
707 918 28
517 889 44
137 699 15
350 985 27
674 272 24
639 712 2
467 602 64
170 483 219
871 637 30
672 641 30
174 633 21
873 165 20
202 819 98
991 985 21
173 409 38
663 113 71
938 654 478
536 592 38
246 866 43
984 60 7
34 532 45
659 575 48
517 831 15
748 980 50
703 629 28
541 766 1
724 103 32
389 45 37
927 652 39
993 803 38
462 117 20
872 819 46
482 390 23
542 55 20
281 285 48
591 721 8
898 377 28
487 980 10
868 55 16
736 250 186
12 424 22
964 398 22
576 344 42
877 785 40
416 872 364
98 438 32
346 305 46
290 266 10
56 24 31
867 169 1
98 602 309
611 875 15
532 275 16
113 777 46
564 35 31
492 457 16
639 885 20
628 818 21
408 185 46
820 606 5
546 737 22
935 324 159
613 321 37
239 741 10
746 46 10
737 168 30
906 619 9
983 127 47
858 748 31
180 187 194
442 21 9
745 676 29
629 738 38
770 195 28
248 550 50
259 968 118
164 8 12
283 684 12
806 615 50
247 833 29
237 426 30
911 25 7
8 970 32
508 830 403
883 863 43
244 887 25
979 430 111
951 959 48
172 217 133
45 541 44
776 624 42
76 206 228
861 262 48
346 388 16
631 767 143
702 746 9
984 135 47
329 620 19
589 972 93
533 208 45
970 688 98
965 478 18
988 790 287
844 42 23
799 175 46
29 274 5
697 71 4
619 216 10
395 375 183
802 949 31
404 736 42
42 325 11
487 707 25
513 696 27
169 676 44
841 639 32
707 853 24
236 173 91
468 483 35
338 430 26
92 358 7
400 389 43
62 634 19
384 676 8
287 892 20
235 127 119
624 547 40
684 100 15
504 21 17
554 344 37
627 369 25
675 669 9
805 124 17
179 364 40
158 88 11
430 202 15
976 125 181
680 10 23
869 287 37
781 411 118
235 933 16
785 287 23
294 370 18
419 433 35
223 272 33
227 54 11
430 591 20
408 369 24
6 894 46
284 239 19
640 213 44
572 312 31
539 674 360
564 795 334
285 11 23
494 998 155
984 710 43
29 445 43
461 884 8
572 295 23
209 59 2
820 232 19
251 747 46
670 9 22
447 596 26
183 696 26
393 0 21
251 939 30
982 723 19
322 790 147
901 358 23
475 670 146
804 719 12
949 425 23
548 194 5
643 990 10
35 27 21
546 233 47
374 205 33
610 420 128
848 843 18
771 215 85
476 338 44
65 83 27
271 22 30
956 821 36
895 423 140
567 774 58
37 482 39
349 893 171
814 393 117
89 635 277
547 333 41
440 595 24
137 662 38
269 771 28
14 943 3
896 696 7
795 797 37
563 657 18
906 414 67
270 713 32
956 623 2
469 116 28
693 837 38
56 635 32
535 46 36
973 266 20
972 812 41
601 70 28
311 917 18
773 947 319
511 573 12
177 880 41
508 918 8
91 723 11
897 638 29
817 548 40
729 124 8
638 26 38
310 754 32
255 582 30
53 513 4
304 78 34
84 336 2
957 814 35
314 183 200
681 324 34
121 378 6
960 626 15
77 518 9
263 98 12
974 394 10
786 50 40
266 394 31
575 543 402
644 33 7
19 398 17
231 530 31
157 836 192
554 340 194
632 799 48
464 206 45
834 274 347
295 211 60
329 47 49
112 80 9
122 496 15
9 279 37
52 359 30
482 916 6
624 297 28
783 623 37
310 526 14
901 996 101
811 995 36
134 607 23
261 122 14
879 174 14
896 548 166
890 556 11
692 519 21
757 912 121
959 232 17
804 437 2
140 402 396
709 444 7
504 152 21
811 843 10
177 612 39
138 332 2
342 862 367
750 678 48
47 453 2
191 837 31
958 396 200
168 963 25
803 479 55
293 371 32
324 566 17
66 446 8
446 647 127
157 169 10
165 910 32
552 643 34
924 847 5
389 242 40
862 418 228
447 450 35
259 345 42
306 499 19
170 186 26
213 253 23
858 355 149
503 449 2
194 805 415
410 115 16
191 330 40
334 758 200
568 440 161
236 212 22
368 871 5
786 141 32
830 413 15
848 937 25
500 662 28
588 156 44
760 57 19
933 703 1
108 673 27
336 200 5
427 140 17
464 116 47
573 183 189
614 476 31
978 897 42
930 513 188
464 897 4
445 636 34
983 908 11
295 855 1
261 498 44
152 476 141
522 910 48
739 234 49
